2026-06-26 20:00:42,705 | INFO     | Loading documents...
2026-06-26 20:00:42,707 | INFO     | Loaded TXT: documents.txt
2026-06-26 20:00:43,202 | INFO     | Loaded PDF: health.pdf
2026-06-26 20:00:43,202 | INFO     | Total documents loaded: 8
2026-06-26 20:00:43,212 | INFO     | Loaded PDF: playwright.pdf
2026-06-26 20:00:43,213 | INFO     | Total documents loaded: 10
2026-06-26 20:00:43,222 | INFO     | Loaded PDF: python.pdf
2026-06-26 20:00:43,222 | INFO     | Total documents loaded: 12
2026-06-26 20:00:43,231 | INFO     | Loaded PDF: selenium.pdf
2026-06-26 20:00:43,232 | INFO     | Total documents loaded: 14
2026-06-26 20:00:43,236 | INFO     | New documents to index: 0
2026-06-26 20:00:43,236 | INFO     | No new files found.
2026-06-26 20:00:52,717 | INFO     | System initialized.
2026-06-26 20:01:04,189 | INFO     | User asked: what is playwright?
2026-06-26 20:01:04,189 | INFO     | Evaluation started.
2026-06-26 20:01:04,190 | INFO     | Question received: what is playwright?
2026-06-26 20:01:18,810 | INFO     | Question answered successfully. Retrieved 2 chunks.
2026-06-26 20:01:18,812 | INFO     | Running DeepEval...
2026-06-26 20:05:24,537 | INFO     | Loading documents...
2026-06-26 20:05:24,538 | INFO     | Loaded TXT: documents.txt
2026-06-26 20:05:25,062 | INFO     | Loaded PDF: health.pdf
2026-06-26 20:05:25,062 | INFO     | Total documents loaded: 8
2026-06-26 20:05:25,071 | INFO     | Loaded PDF: playwright.pdf
2026-06-26 20:05:25,072 | INFO     | Total documents loaded: 10
2026-06-26 20:05:25,079 | INFO     | Loaded PDF: python.pdf
2026-06-26 20:05:25,080 | INFO     | Total documents loaded: 12
2026-06-26 20:05:25,090 | INFO     | Loaded PDF: selenium.pdf
2026-06-26 20:05:25,090 | INFO     | Total documents loaded: 14
2026-06-26 20:05:25,095 | INFO     | New documents to index: 0
2026-06-26 20:05:25,095 | INFO     | No new files found.
2026-06-26 20:05:34,666 | INFO     | System initialized.
2026-06-26 20:07:10,162 | INFO     | User asked: what is playwright?
